trip_id,date,time,transport_type,route_id,vehicle_id,origin_station,origin_district,origin_latitude,origin_longitude,destination_station,destination_district,destination_latitude,destination_longitude,distance_km,fare_rwf,passengers_carried,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00011,2023-01-01,07:45:00,Moto,KG 550 St,RAB463C,Nyarugunga,Kicukiro,-1.9937,30.117322,Gitega,Nyarugenge,-1.953918,30.055644,8.16,2340,1,07:49:00,08:33:00,15,21,Cloudy,26.4,74,46,9.8,None,2000,91,0,0,6,Summer,1
T00012,2023-01-01,08:00:00,Taxi,KK 15 Rd,RAC507G,Kimisagara,Nyarugenge,-1.946297,30.040354,Rutunga,Gasabo,-1.858391,30.077776,10.62,5250,2,08:04:00,08:37:00,10,-1,Clear,25.3,64,33,9.4,Parade,0,10,0,0,6,Summer,0
T00013,2023-01-01,08:15:00,Moto,KG 17 Ave,RAB938G,Kabusunzu,Nyarugenge,-1.962517,30.029695,Nyamirambo,Nyarugenge,-1.971103,30.0423,1.7,720,1,08:17:00,08:44:00,10,22,Storm,18.5,55,48,1.6,None,10000,62,0,1,6,Summer,1
T00014,2023-01-01,08:30:00,Moto,KK 5 Rd,RAB336C,Gitega,Nyarugenge,-1.951762,30.055919,Cyahafi,Nyarugenge,-1.953904,30.034283,2.42,900,1,08:32:00,09:28:00,16,0,Storm,21.9,52,22,5.2,None,500,21,0,0,6,Winter,0
T00015,2023-01-01,08:45:00,Bus,KK 15 Rd,RAD286E,Muhima,Nyarugenge,-1.946943,30.048392,Kacyiru,Gasabo,-1.9456,30.08691,4.28,460,26,08:46:00,09:22:00,9,11,Fog,26.6,42,37,19.1,None,500,53,0,0,6,Summer,1
T00016,2023-01-01,09:00:00,Moto,KG 28 Ave,RAB228A,Mageragere,Nyarugenge,-2.012975,30.009514,Rugarama,Nyarugenge,-1.950784,30.025398,7.14,2080,1,09:03:00,09:20:00,14,28,Storm,12.3,32,52,2.2,Festival,0,88,0,0,6,Spring,1
T00017,2023-01-01,09:15:00,Moto,KK 28 Ave,RAB501G,Sonatube,Kicukiro,-1.965603,30.10668,Kagugu,Gasabo,-1.910753,30.076787,6.95,2040,1,09:18:00,10:13:00,19,25,Fog,26.0,58,27,6.1,None,0,84,0,0,6,Spring,1
T00018,2023-01-01,09:30:00,Moto,KG 9 Ave,RAB313H,Masaka,Kicukiro,-1.995635,30.149889,Kigali Heights,Gasabo,-1.948597,30.089144,8.54,2440,1,09:31:00,10:10:00,9,6,Clear,28.5,95,12,0.7,None,2000,35,0,1,6,Winter,1
T00019,2023-01-01,09:45:00,Moto,KK 33 Ave,RAB649B,Kacyiru,Gasabo,-1.94634,30.087604,Biryogo,Nyarugenge,-1.962386,30.045401,5.02,1560,1,09:48:00,10:05:00,10,17,Clear,12.6,93,28,3.0,Festival,0,57,0,0,6,Winter,1
T00020,2023-01-01,10:00:00,Bus,KG 9 Ave,RAD358F,Nyabugogo Bus Park,Nyarugenge,-1.955118,30.054822,Biryogo,Nyarugenge,-1.961752,30.044257,1.39,280,28,10:00:00,10:34:00,9,12,Clear,12.8,57,7,14.0,Concert,0,19,0,0,6,Winter,1
T00021,2023-01-01,10:15:00,Bus,KK 10 Ave,RAD595E,Rugarama,Nyarugenge,-1.950155,30.022692,Kagugu,Gasabo,-1.913072,30.077867,7.39,640,23,10:18:00,10:38:00,16,15,Clear,18.0,65,10,7.3,None,0,15,0,0,6,Autumn,1
T00022,2023-01-01,10:30:00,Bus,KK 15 Rd,RAD265A,Ndera,Gasabo,-1.947135,30.156498,Kabusunzu,Nyarugenge,-1.958558,30.029872,14.13,1050,30,10:31:00,11:09:00,11,25,Cloudy,13.5,35,46,9.0,None,0,91,0,0,6,Summer,1
T00023,2023-01-01,10:45:00,Taxi,KG 9 Ave,RAC876E,Remera,Gasabo,-1.951294,30.10817,Ndera,Gasabo,-1.94712,30.155259,5.25,3100,1,10:48:00,11:14:00,4,14,Heavy Rain,20.4,40,44,3.1,Festival,500,55,0,1,6,Winter,1
T00024,2023-01-01,11:00:00,Taxi,KG 17 Ave,RAC645F,Gahanga,Kicukiro,-2.018823,30.108567,Muhima,Nyarugenge,-1.9458,30.048002,10.55,5220,2,11:04:00,11:42:00,10,12,Heavy Rain,24.7,67,17,13.6,Festival,0,92,0,0,6,Winter,1
T00025,2023-01-01,11:15:00,Bus,RN1 (Kigali-Muhanga Rd),RAD937G,Kimicanga,Gasabo,-1.944321,30.07473,Kigali Heights,Gasabo,-1.94645,30.089171,1.62,300,15,11:17:00,12:08:00,3,-3,Cloudy,21.9,63,49,15.0,None,0,49,0,0,6,Winter,0
T00026,2023-01-01,11:30:00,Bus,KK 28 Ave,RAD386H,Mageragere,Nyarugenge,-2.0118,30.009957,Kagarama,Kicukiro,-1.973614,30.092938,10.15,810,33,11:30:00,12:22:00,16,-2,Clear,15.4,96,24,3.6,None,0,89,1,0,6,Spring,0
T00027,2023-01-01,11:45:00,Bus,KG 11 Ave,RAD457F,Biryogo,Nyarugenge,-1.961838,30.045631,Gitega,Nyarugenge,-1.953934,30.054851,1.35,280,31,11:49:00,12:38:00,16,11,Storm,23.4,75,48,0.9,None,10000,65,0,0,6,Winter,1
T00028,2023-01-01,12:00:00,Taxi,KK 432 St,RAC590F,Rebero,Kicukiro,-1.989677,30.088361,Gishushu,Gasabo,-1.94782,30.100226,4.84,2940,1,12:04:00,12:58:00,1,24,Fog,23.9,58,21,1.6,None,50000,73,0,0,6,Spring,1
T00029,2023-01-01,12:15:00,Taxi,KK 432 St,RAC589C,Jabana,Gasabo,-1.897992,30.042719,Kagarama,Kicukiro,-1.975669,30.091269,10.18,5070,2,12:16:00,12:44:00,16,-3,Heavy Rain,28.3,89,44,13.1,Sports,0,12,0,1,6,Spring,0
T00030,2023-01-01,12:30:00,Bus,RN4 (Kigali-Kayonza Rd),RAD574G,Nyarutarama,Gasabo,-1.935265,30.107995,Nyabugogo Bus Park,Nyarugenge,-1.953995,30.06023,5.7,540,20,12:32:00,13:09:00,6,1,Rain,14.6,83,34,2.7,None,0,14,0,0,6,Autumn,0
T00031,2023-01-01,12:45:00,Bus,KG 9 Ave,RAD925C,Gisozi,Gasabo,-1.929651,30.06202,Kicukiro Centre,Kicukiro,-1.984238,30.100907,7.45,650,22,12:47:00,13:05:00,13,18,Fog,24.1,98,28,9.9,Sports,0,72,0,1,6,Winter,1
T00032,2023-01-01,13:00:00,Moto,KN 5 Rd,RAB114B,Ndera,Gasabo,-1.944056,30.154102,Kagarama,Kicukiro,-1.974708,30.087786,8.12,2330,1,13:00:00,13:32:00,1,9,Rain,27.9,38,20,3.1,Concert,0,26,0,0,6,Autumn,1
T00033,2023-01-01,13:15:00,Bus,KK 432 St,RAD317E,Bumbogo,Gasabo,-1.890397,30.10223,Rutunga,Gasabo,-1.858043,30.078266,4.48,470,16,13:16:00,13:35:00,3,-3,Rain,20.8,39,55,3.4,Sports,2000,7,0,1,6,Winter,0
T00034,2023-01-01,13:30:00,Bus,KG 28 Ave,RAD857F,Gitega,Nyarugenge,-1.951418,30.051956,Kacyiru,Gasabo,-1.943734,30.089005,4.21,450,9,13:30:00,13:54:00,5,12,Clear,18.3,97,6,0.1,Festival,0,69,0,0,6,Summer,1
T00035,2023-01-01,13:45:00,Bus,KG 9 Ave,RAD233C,Rutunga,Gasabo,-1.859025,30.08189,Gisozi,Gasabo,-1.930899,30.065963,8.19,690,24,13:48:00,14:20:00,13,18,Rain,15.0,87,11,6.4,None,0,99,0,0,6,Winter,1
T00036,2023-01-01,14:00:00,Taxi,KK 33 Ave,RAC276C,Kimihurura,Gasabo,-1.947763,30.091659,Cyahafi,Nyarugenge,-1.954349,30.036656,6.16,3460,2,14:04:00,14:34:00,2,28,Clear,27.1,81,35,1.8,None,0,49,0,1,6,Winter,1
T00037,2023-01-01,14:15:00,Bus,KK 10 Ave,RAD668H,Kabeza,Kicukiro,-1.979285,30.112722,Nyamirambo,Nyarugenge,-1.974029,30.041094,7.98,680,24,14:15:00,15:02:00,18,12,Cloudy,18.9,63,23,7.9,Concert,50000,87,0,0,6,Winter,1
T00038,2023-01-01,14:30:00,Bus,KN 5 Rd,RAD619H,Kagugu,Gasabo,-1.910701,30.072341,Remera,Gasabo,-1.955852,30.105253,6.21,570,11,14:34:00,15:20:00,19,11,Storm,28.1,64,31,12.0,Protest,10000,66,0,0,6,Winter,1
T00039,2023-01-01,14:45:00,Taxi,KG 550 St,RAC809E,Gatenga,Kicukiro,-1.982833,30.087364,Kimihurura,Gasabo,-1.95262,30.088954,3.36,2340,2,14:46:00,15:27:00,7,8,Rain,26.8,62,26,7.4,None,2000,25,0,1,6,Winter,1
T00040,2023-01-01,15:00:00,Moto,KK 5 Rd,RAB635E,Kigali International Airport,Kicukiro,-1.968551,30.141344,Gatenga,Kicukiro,-1.979953,30.083486,6.55,1940,1,15:03:00,15:36:00,10,-3,Storm,18.6,61,31,14.1,Protest,0,35,0,0,6,Winter,0
T00041,2023-01-01,15:15:00,Taxi,KN 4 Ave,RAC552F,Sonatube,Kicukiro,-1.965643,30.103216,Kinyinya,Gasabo,-1.918315,30.0975,5.3,3120,4,15:16:00,16:08:00,11,13,Clear,22.0,84,58,14.8,None,0,20,0,0,6,Autumn,1
T00042,2023-01-01,15:30:00,Bus,KN 5 Rd,RAD895C,Kabuga,Gasabo,-1.926973,30.18257,Kabuga,Gasabo,-1.929724,30.181817,0.32,220,11,15:33:00,16:02:00,4,24,Rain,12.5,37,31,13.9,None,10000,76,0,1,6,Summer,1
T00043,2023-01-01,15:45:00,Moto,KN 78 St,RAB196G,Gahanga,Kicukiro,-2.022142,30.112297,Jabana,Gasabo,-1.897195,30.043318,15.87,4270,1,15:48:00,16:18:00,17,3,Fog,16.6,75,31,18.7,None,0,51,0,1,6,Autumn,0
T00044,2023-01-01,16:00:00,Moto,KG 205 St,RAB627G,Kanombe,Kicukiro,-1.972023,30.136007,Bumbogo,Gasabo,-1.891658,30.101238,9.74,2740,1,16:04:00,16:30:00,3,5,Cloudy,24.4,43,25,4.7,Parade,500,10,0,1,6,Summer,0
T00045,2023-01-01,16:15:00,Moto,KG 11 Ave,RAB446H,Kimironko,Gasabo,-1.935472,30.11714,Kabusunzu,Nyarugenge,-1.962447,30.029196,10.22,2860,1,16:16:00,17:02:00,4,18,Heavy Rain,23.8,37,10,3.8,None,0,7,0,0,6,Autumn,1
T00046,2023-01-01,16:30:00,Moto,KG 550 St,RAB165B,Nzove,Nyarugenge,-1.933781,29.989306,Remera,Gasabo,-1.953895,30.106773,13.24,3610,1,16:31:00,17:21:00,2,22,Cloudy,18.1,83,45,12.2,None,0,56,0,0,6,Autumn,1
T00047,2023-01-01,16:45:00,Moto,KG 9 Ave,RAB897C,Gatenga,Kicukiro,-1.97717,30.082629,Gatenga,Kicukiro,-1.981407,30.082238,0.47,420,1,16:45:00,17:39:00,18,8,Rain,26.1,50,17,11.9,Parade,0,45,0,1,6,Winter,1
T00048,2023-01-01,17:00:00,Bus,KK 15 Rd,RAD515C,Gikondo,Kicukiro,-1.968465,30.071919,Kimironko,Gasabo,-1.932902,30.119056,6.56,590,16,17:01:00,17:50:00,15,3,Cloudy,16.1,43,38,10.2,Sports,10000,77,0,0,6,Autumn,0
T00049,2023-01-01,17:15:00,Bus,KK 33 Ave,RAD174E,Gikondo,Kicukiro,-1.968797,30.067537,Ndera,Gasabo,-1.947655,30.156129,10.12,810,21,17:15:00,17:51:00,9,11,Heavy Rain,20.1,31,4,0.1,Protest,0,96,0,1,6,Summer,1
T00050,2023-01-01,17:30:00,Moto,KN 67 St,RAB168E,Rugarama,Nyarugenge,-1.949193,30.02681,Nzove,Nyarugenge,-1.937498,29.992137,4.07,1320,1,17:32:00,17:58:00,3,17,Fog,20.2,90,15,11.1,None,2000,1,0,0,6,Spring,1
T00051,2023-01-01,17:45:00,Bus,KK 5 Rd,RAD736C,Gisozi,Gasabo,-1.931277,30.063035,Muhima,Nyarugenge,-1.944682,30.05256,1.89,310,16,17:47:00,18:14:00,-2,10,Storm,17.9,46,10,18.7,None,10000,63,0,0,6,Summer,1
T00052,2023-01-01,18:00:00,Moto,KK 432 St,RAB151C,Kabeza,Kicukiro,-1.979839,30.113431,Nzove,Nyarugenge,-1.937343,29.987969,14.72,3980,1,18:02:00,18:27:00,1,-2,Fog,28.7,77,53,6.7,None,50000,51,0,0,6,Autumn,0
T00053,2023-01-01,18:15:00,Taxi,KN 3 Ave,RAC612C,Kabuga,Gasabo,-1.925407,30.183772,Gatenga,Kicukiro,-1.979813,30.083235,12.71,6080,4,18:16:00,18:55:00,16,4,Cloudy,24.2,37,34,19.4,Sports,0,64,0,1,6,Spring,0
T00054,2023-01-01,18:30:00,Moto,KK 28 Ave,RAB850D,Niboye,Kicukiro,-1.988918,30.097109,Rwandex,Nyarugenge,-1.967497,30.065092,4.28,1370,1,18:31:00,19:02:00,9,2,Heavy Rain,21.4,85,47,7.1,Concert,0,10,0,0,6,Winter,0
T00055,2023-01-01,18:45:00,Moto,KK 5 Rd,RAB772H,Mageragere,Nyarugenge,-2.011526,30.009682,Kanombe,Kicukiro,-1.96905,30.135901,14.8,4000,1,18:45:00,19:09:00,12,29,Storm,20.9,46,10,2.8,Concert,50000,5,0,1,6,Spring,1
T00056,2023-01-01,19:00:00,Moto,KG 28 Ave,RAB303C,Kacyiru,Gasabo,-1.941178,30.085847,Masaka,Kicukiro,-1.996709,30.148377,9.3,2620,1,19:03:00,19:25:00,0,2,Heavy Rain,14.8,98,41,8.0,Sports,0,95,0,1,6,Winter,0
T00057,2023-01-01,19:15:00,Bus,KG 550 St,RAD858E,Kagugu,Gasabo,-1.910063,30.077891,Kimicanga,Gasabo,-1.942978,30.070086,3.76,430,28,19:15:00,20:04:00,17,22,Fog,18.5,41,22,9.9,None,0,78,0,1,6,Summer,1
T00058,2023-01-01,19:30:00,Moto,KN 4 Ave,RAB786E,Biryogo,Nyarugenge,-1.962021,30.042507,Nyabisindu,Nyarugenge,-1.972952,30.042223,1.22,600,1,19:32:00,20:20:00,5,10,Clear,23.7,67,54,12.6,Concert,0,75,0,1,6,Spring,1
T00059,2023-01-01,19:45:00,Bus,KN 5 Rd,RAD369F,Nzove,Nyarugenge,-1.933844,29.987271,Rutunga,Gasabo,-1.861888,30.078614,12.93,980,8,19:45:00,20:21:00,8,4,Clear,28.1,47,33,10.1,None,0,63,0,1,6,Spring,0
T00060,2023-01-01,20:00:00,Moto,KG 28 Ave,RAB416D,Kanombe,Kicukiro,-1.967164,30.135282,Nzove,Nyarugenge,-1.936533,29.992794,16.2,4350,1,20:03:00,20:30:00,13,9,Storm,26.3,55,47,10.7,None,0,92,0,1,6,Spring,1
T00061,2023-01-01,20:15:00,Moto,KN 4 Ave,RAB771D,Rwandex,Nyarugenge,-1.967902,30.067012,Kanombe,Kicukiro,-1.972497,30.133674,7.43,2160,1,20:16:00,20:54:00,6,9,Storm,17.2,66,16,0.5,None,500,54,0,0,6,Winter,1
T00062,2023-01-01,20:30:00,Bus,KK 5 Rd,RAD700A,Remera,Gasabo,-1.953972,30.10503,Kimironko,Gasabo,-1.936415,30.115539,2.27,340,20,20:30:00,20:58:00,0,24,Storm,19.6,99,9,5.1,Sports,500,43,0,0,6,Winter,1
T00063,2023-01-01,20:45:00,Bus,KK 5 Rd,RAD973C,Gikondo,Kicukiro,-1.972865,30.068825,Kinyinya,Gasabo,-1.919603,30.098513,6.78,610,24,20:47:00,21:06:00,2,14,Clear,13.4,70,17,6.2,Festival,0,85,0,0,6,Summer,1
T00064,2023-01-01,21:00:00,Taxi,KK 432 St,RAC253E,Kicukiro Centre,Kicukiro,-1.979643,30.104704,Cyahafi,Nyarugenge,-1.954421,30.036586,8.07,4230,4,21:02:00,21:56:00,17,15,Fog,13.8,71,43,19.7,None,10000,13,1,0,6,Summer,1
T00065,2023-01-01,21:15:00,Bus,KN 5 Rd,RAD817C,Ndera,Gasabo,-1.947737,30.157012,Kanyinya,Nyarugenge,-1.907648,30.010764,16.85,1210,31,21:16:00,21:35:00,11,28,Storm,20.2,70,7,5.9,None,0,82,0,0,6,Autumn,1
T00066,2023-01-01,21:30:00,Taxi,KG 9 Ave,RAC187A,Ndera,Gasabo,-1.943042,30.155504,Rwandex,Nyarugenge,-1.963643,30.069097,9.87,4950,2,21:30:00,21:53:00,12,18,Clear,21.2,76,58,17.9,None,0,4,0,0,6,Winter,1
T00067,2023-01-01,21:45:00,Bus,KK 10 Ave,RAD151A,Kimihurura,Gasabo,-1.952201,30.089164,Kabusunzu,Nyarugenge,-1.962371,30.032015,6.45,590,25,21:48:00,22:40:00,3,-2,Storm,16.6,43,25,6.1,Festival,50000,98,0,1,6,Summer,0
T00068,2023-01-01,22:00:00,Taxi,RN4 (Kigali-Kayonza Rd),RAC775B,Kabeza,Kicukiro,-1.980064,30.11202,Kanombe,Kicukiro,-1.968214,30.13649,3.02,2210,1,22:01:00,22:44:00,1,9,Storm,23.2,30,2,1.9,Concert,0,24,0,0,6,Spring,1
T00069,2023-01-01,22:15:00,Bus,KK 33 Ave,RAD336H,Cyahafi,Nyarugenge,-1.956487,30.032447,Kinyinya,Gasabo,-1.919407,30.099376,8.5,710,14,22:15:00,22:37:00,5,19,Heavy Rain,24.2,46,58,5.0,Parade,2000,49,0,0,6,Spring,1
T00070,2023-01-01,22:30:00,Bus,KG 550 St,RAD731D,Kagugu,Gasabo,-1.910927,30.07246,Gishushu,Gasabo,-1.943537,30.100724,4.8,490,9,22:34:00,22:58:00,16,21,Storm,17.2,84,51,5.5,Festival,0,72,0,1,6,Spring,1
T00071,2023-01-01,22:45:00,Bus,KK 28 Ave,RAD681C,Kabeza,Kicukiro,-1.979402,30.113991,Rutunga,Gasabo,-1.859091,30.081157,13.87,1030,27,22:47:00,23:26:00,2,24,Clear,25.2,82,23,19.6,None,2000,70,0,0,6,Summer,1
T00072,2023-01-01,23:00:00,Bus,KG 550 St,RAD791H,Rutunga,Gasabo,-1.860105,30.079915,Kimicanga,Gasabo,-1.942165,30.070597,9.18,750,14,23:03:00,23:42:00,10,7,Fog,15.6,60,2,13.5,None,0,81,0,0,6,Spring,1
T00073,2023-01-01,23:15:00,Bus,KK 15 Rd,RAD304E,Rugando,Kicukiro,-1.958747,30.123713,Kimironko,Gasabo,-1.935205,30.119603,2.66,360,25,23:18:00,23:46:00,13,29,Clear,21.5,91,37,18.6,None,0,1,0,1,6,Spring,1
T00074,2023-01-01,23:30:00,Bus,KG 28 Ave,RAD375G,Masaka,Kicukiro,-1.992382,30.147105,Gishushu,Gasabo,-1.946246,30.103919,7.02,620,22,23:33:00,23:59:00,-2,20,Clear,26.0,37,1,16.7,None,0,9,0,0,6,Winter,1
T00075,2023-01-01,23:45:00,Bus,KG 9 Ave,RAD636E,Kabusunzu,Nyarugenge,-1.957501,30.032583,Kacyiru,Gasabo,-1.946552,30.084542,5.9,550,31,23:47:00,00:38:00,10,-2,Storm,21.4,59,34,11.6,None,0,1,0,0,6,Winter,0
T00076,2023-01-02,00:00:00,Moto,RN4 (Kigali-Kayonza Rd),RAB820F,Gishushu,Gasabo,-1.948204,30.103921,Kacyiru,Gasabo,-1.943948,30.089321,1.69,720,1,00:00:00,00:29:00,19,26,Heavy Rain,27.8,95,16,13.5,None,0,59,0,0,0,Summer,1
T00077,2023-01-02,00:15:00,Taxi,KN 78 St,RAC797H,Nzove,Nyarugenge,-1.935013,29.992257,Gikondo,Kicukiro,-1.970636,30.067954,9.3,4720,4,00:16:00,01:04:00,8,13,Rain,13.0,74,8,12.5,Concert,10000,44,0,0,0,Winter,1
T00078,2023-01-02,00:30:00,Moto,KN 3 Ave,RAB960F,Rutunga,Gasabo,-1.861188,30.077844,Gikondo,Kicukiro,-1.970936,30.068896,12.24,3360,1,00:30:00,01:11:00,18,18,Rain,22.2,47,35,13.3,None,0,7,0,1,0,Autumn,1
T00079,2023-01-02,00:45:00,Taxi,KK 33 Ave,RAC830A,Jabana,Gasabo,-1.901053,30.04403,Kagarama,Kicukiro,-1.97561,30.092639,9.9,4960,2,00:46:00,01:10:00,5,1,Rain,21.8,74,21,5.3,None,10000,57,0,0,0,Summer,0
T00080,2023-01-02,01:00:00,Taxi,KN 5 Rd,RAC469G,Kinyinya,Gasabo,-1.919261,30.097233,Nyabisindu,Nyarugenge,-1.975643,30.042993,8.7,4480,1,01:03:00,01:21:00,5,12,Clear,23.5,48,30,8.2,None,0,6,0,1,0,Autumn,1
T00081,2023-01-02,01:15:00,Moto,KK 5 Rd,RAB750C,Gishushu,Gasabo,-1.943874,30.100684,Nyakabanda,Nyarugenge,-1.97069,30.043972,6.97,2040,1,01:15:00,02:04:00,11,9,Storm,26.5,97,54,11.9,None,0,98,0,0,0,Autumn,1
T00082,2023-01-02,01:30:00,Bus,KK 10 Ave,RAD538A,Mageragere,Nyarugenge,-2.007174,30.009617,Kagugu,Gasabo,-1.914106,30.076639,12.75,960,33,01:33:00,01:51:00,10,22,Rain,24.6,79,33,0.7,Sports,50000,86,0,0,0,Summer,1
T00083,2023-01-02,01:45:00,Moto,KK 432 St,RAB150G,Kabusunzu,Nyarugenge,-1.957519,30.032644,Kigali City Centre (CBD),Nyarugenge,-1.949705,30.060117,3.17,1090,1,01:49:00,02:36:00,0,27,Cloudy,25.8,54,23,9.7,Sports,50000,71,0,1,0,Winter,1
T00084,2023-01-02,02:00:00,Moto,KN 67 St,RAB663C,Nyakabanda,Nyarugenge,-1.967311,30.040831,Kimihurura,Gasabo,-1.947783,30.089913,5.87,1770,1,02:03:00,02:35:00,1,19,Cloudy,17.1,67,59,17.2,None,0,20,1,1,0,Winter,1
T00085,2023-01-02,02:15:00,Moto,KK 432 St,RAB768E,Kabusunzu,Nyarugenge,-1.960167,30.029062,Cyahafi,Nyarugenge,-1.956213,30.036434,0.93,530,1,02:18:00,02:46:00,17,8,Cloudy,18.8,65,8,9.8,Concert,10000,96,0,0,0,Summer,1
T00086,2023-01-02,02:30:00,Bus,KN 78 St,RAD758C,Gisozi,Gasabo,-1.930064,30.062805,Jabana,Gasabo,-1.899656,30.044366,3.95,440,13,02:31:00,02:50:00,12,10,Fog,22.9,97,45,11.0,None,0,46,0,0,0,Autumn,1
T00087,2023-01-02,02:45:00,Bus,KK 28 Ave,RAD877H,Jabana,Gasabo,-1.901753,30.047436,Kacyiru,Gasabo,-1.944018,30.08532,6.31,580,18,02:49:00,03:12:00,12,14,Storm,21.6,85,57,4.0,None,0,0,0,1,0,Summer,1
T00088,2023-01-02,03:00:00,Moto,KN 3 Ave,RAB193F,Kabeza,Kicukiro,-1.982162,30.113154,Gacuriro,Gasabo,-1.922456,30.089052,7.16,2090,1,03:03:00,03:32:00,18,23,Clear,28.7,68,42,15.9,None,0,11,0,0,0,Summer,1
T00089,2023-01-02,03:15:00,Bus,KK 10 Ave,RAD522G,Gisozi,Gasabo,-1.93179,30.065856,Bumbogo,Gasabo,-1.891787,30.09712,5.64,540,35,03:18:00,03:49:00,10,24,Clear,15.3,92,1,7.2,Parade,50000,74,0,0,0,Spring,1
T00090,2023-01-02,03:30:00,Moto,KK 15 Rd,RAB610E,Rebero,Kicukiro,-1.986525,30.08826,Jabana,Gasabo,-1.901379,30.046513,10.54,2940,1,03:34:00,03:57:00,6,14,Storm,18.1,36,20,19.1,None,50000,47,1,1,0,Spring,1
T00091,2023-01-02,03:45:00,Moto,KG 17 Ave,RAB321B,Kanogo,Nyarugenge,-1.945245,30.03302,Gishushu,Gasabo,-1.945222,30.104177,7.91,2280,1,03:49:00,04:14:00,7,12,Heavy Rain,22.0,87,33,19.9,None,0,93,0,0,0,Autumn,1
T00092,2023-01-02,04:00:00,Bus,KK 15 Rd,RAD969A,Kigali City Centre (CBD),Nyarugenge,-1.947619,30.058107,Kigali International Airport,Kicukiro,-1.967725,30.139091,9.27,760,17,04:00:00,04:24:00,9,12,Heavy Rain,27.1,88,26,18.3,Protest,2000,3,0,0,0,Winter,1
